Date,Close,High,Low,Open,Volume,Company
1/3/2022,21.132753372192383,21.178595536535173,20.949389960920506,21.041072540906328,1761932,IRFC.BO
1/4/2022,21.132753372192383,21.270278116520995,21.041072540906328,21.178595536535173,986802,IRFC.BO
1/5/2022,20.9952335357666,21.132756552088868,20.811870096903593,21.132756552088868,1449340,IRFC.BO
1/6/2022,20.949390411376953,21.041072993334144,20.81186741279107,20.949390411376953,1871902,IRFC.BO
1/7/2022,21.041074752807617,21.13275559373144,20.903549994021986,21.086915173269528,1420728,IRFC.BO
1/10/2022,21.041074752807617,21.1785977628933,20.99523258364576,21.086915173269528,1850593,IRFC.BO
1/11/2022,21.08691406,21.31611965013587,20.94939105965845,21.04107364445277,2441106,IRFC.BO
1/12/2022,21.132753372192383,21.2244359521782,21.041072540906328,21.132753372192383,1811170,IRFC.BO
1/13/2022,21.08691406,21.17859664729432,21.04107364445277,21.17859664729432,1640433,IRFC.BO
1/14/2022,21.72869110107422,21.774531520584958,20.995232148002987,21.08691473572438,3108309,IRFC.BO
1/17/2022,22.049575805664062,22.232940966725213,21.728689396856716,21.728689396856716,3992828,IRFC.BO
1/18/2022,21.72869110107422,22.27878313000275,21.682848932863568,22.141260122770618,2248048,IRFC.BO
1/19/2022,21.545326232910156,21.774531831132602,21.49948581274564,21.72869141096809,1711154,IRFC.BO
1/20/2022,21.63701057434082,21.728693170795246,21.545327977886394,21.591168401763568,809670,IRFC.BO
1/21/2022,21.40780258178711,21.820371596996353,21.316119995507314,21.59116600564681,2065908,IRFC.BO
1/24/2022,20.949390411376953,21.545324571048987,20.857707829419763,21.407801572463104,3216588,IRFC.BO
1/25/2022,21.08691406,21.17859664729432,20.62850288722826,20.766025890069812,1581500,IRFC.BO
1/27/2022,21.041074752807617,21.22443818335521,20.903549994021986,20.99523258364576,1853359,IRFC.BO
1/28/2022,21.132753372192383,21.36195894780705,21.086912956549355,21.086912956549355,1118668,IRFC.BO
1/31/2022,21.40780258178711,21.453643000577063,21.224437409227523,21.27027957671736,1341861,IRFC.BO
2/1/2022,21.270280838012695,21.637009456178433,21.132756076088054,21.545326864462,2802373,IRFC.BO
2/2/2022,21.316120147705078,21.453643153756744,21.224437560770667,21.316120147705078,1418788,IRFC.BO
2/3/2022,21.270280838012695,21.40780385123735,21.224438667804485,21.36196168102914,777717,IRFC.BO
2/4/2022,21.132753372192383,21.36195894780705,21.086912956549355,21.270278116520995,1198380,IRFC.BO
2/7/2022,21.132753372192383,21.2244359521782,21.086912956549355,21.132753372192383,1121466,IRFC.BO
2/8/2022,21.132753372192383,21.2244359521782,20.995230376563534,21.132753372192383,1228795,IRFC.BO
2/9/2022,21.132753372192383,21.2244359521782,21.086912956549355,21.132753372192383,1066982,IRFC.BO
